_io,asset_ID,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,error,tracking_valid,frame,trial_num,block_num,practicing,left_right_hand,palm_back_hand,target_loc,distractor_loc,participant_id
<_io.BytesIO object at 0x00000258D7DC4810>,1062770613,0.050531357526779175,-0.03920337185263634,0.8927752375602722,0.004626170266419649,0.017089594155550003,0.8720842003822327,0.017216630280017853,-0.047536700963974,27252,157358,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D7DC4400>,1930575694,-5.084178576910989e-30,2.0740638781117113e-22,-7327050461347840.0,-1.0009076612202496e+16,1.595621943473816,2.1796909824054657e+19,4.225543712540114e-15,2.0298156682343765e-31,16142,157358,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D7DC4310>,1035927086,-0.12223239243030548,0.6304536461830139,0.10465306043624878,-0.0764719769358635,0.575578510761261,0.029272761195898056,-0.06871992349624634,0.5445497632026672,20192,157358,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D7DC4090>,403258685,2.5183014962074153e-40,6.979497708007332e-39,9.183549615799121e-41,7.829010107009545e+33,38719.25390625,-1.1526088997213771e+37,-8.659546604089519e-13,2.894706602833302e+24,-16805,157358,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D7DC4220>,1064129182,-0.0832584798336029,0.0,1.8367099231598242e-40,-1.1658342254584437e+22,-2.3304334112003154e-25,5.496591735329527e-27,7.479276555146258e+19,6.549938541024405e+19,15998,157358,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D7DC4DB0>,3188374983,0.7124910950660706,0.0,0.0,0.0,0.0,0.0,9.183549615799121e-40,2.424457098570968e-38,0,157358,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D7DC4400>,677,0.8460648655891418,0.050531357526779175,-0.03920337185263634,0.01060434989631176,-8.639747694221227e-20,3.0889739058826997e-37,-3.6207482954480034e-31,-5.21019159286548e-25,15255,157358,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D7DC42C0>,1015807866,0.00859688501805067,-319488.5625,3.103694938614002e-37,7.28125,5.4948597305203065e-33,-1.6110876686070696e-06,-1.5151007299175928e-33,1.674602111612872e-39,21048,157358,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D7DC4090>,48314035,7.374447499649238e+25,1.1586903578915268e+31,-5.084178576910989e-30,-1.915873662664019e-26,1.6746077168067294e-39,0.00012638616317417473,1.0453686543863135e-42,0.8090130090713501,-9776,157358,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D7DC4C20>,3658366159,-593734598656.0,1.6745909012251575e-39,0.0002122411096934229,1.0846050113874084e-42,0.5908172130584717,0.09539716690778732,-0.14956510066986084,0.009710912592709064,18,157358,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258DAB5DE00>,1062770583,0.05052730441093445,-0.03920959681272507,0.8927726745605469,0.0046234470792114735,0.017083605751395226,0.8720940351486206,0.017230140045285225,-0.04753389582037926,27212,157359,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258DAB3D6D0>,1848917838,-1.9210342026119528e-22,1.6852889902117883e-22,-12687.8271484375,-43550306304.0,6.520698980772011e-10,-61365515452416.0,-27.155155181884766,-5.707125261504318e+37,16141,157359,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D2A05630>,1035844678,-0.12197517603635788,0.6302561163902283,0.10420975089073181,-0.07629087567329407,0.5758472084999084,0.02848486602306366,-0.0690097063779831,0.5445085763931274,-19717,157359,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258DAB3DF90>,3382263098,2.518287483222772e-40,6.979497708007332e-39,9.183549615799121e-41,7.829010107009545e+33,38719.25390625,-1.1526088997213771e+37,-8.659546604089519e-13,2.894706602833302e+24,-16805,157359,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D2A05630>,1064129182,-0.0832584798336029,0.0,1.8367099231598242e-40,-1.1658342254584437e+22,-2.3304334112003154e-25,5.496591735329527e-27,7.479276555146258e+19,6.549938541024405e+19,15998,157359,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258DAB3DEA0>,3188374983,0.7124910950660706,0.0,0.0,0.0,0.0,0.0,9.183549615799121e-40,2.424457098570968e-38,0,157359,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258DAB3D0E0>,677,0.8460630774497986,0.05052730441093445,-0.03920959681272507,0.01060442253947258,-2.5243603133852064e-29,3.088973457467191e-37,-2.9582283945787943e-31,-6.726731491012422e-39,15255,157359,4,1,True,Right,Front,Centre,Left,76
<_io.BytesIO object at 0x00000258D2A05630>,1015804651,0.008595471270382404,733185.125,3.1036953870295105e-37,17.75,6.427065245803753e-16,-2.6919474649389485e-08,-7.883759961688823e-33,1.674602111612872e-39,23662,157359,4,1,True,Right,Front,Centre,Left,76
