_io,asset_ID,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,error,tracking_valid,frame,trial_num,block_num,practicing,left_right_hand,palm_back_hand,target_loc,distractor_loc,participant_id
<_io.BytesIO object at 0x000002A112E280E0>,1049739341,0.009221021085977554,-0.07293402403593063,0.2523828446865082,0.004903305787593126,-0.007167793344706297,0.2981368899345398,0.0479794479906559,-0.051636263728141785,2649,156570,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E28680>,2370322087,-1.4920231716786247e-11,-124380632.0,3.048229319638375e+21,-1.5427102410132385e-36,-9.26600131057671e+32,-1.3242208773260624e+38,1.5592973324627374e-37,2.052790146358711e-40,0,156570,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E28C20>,76,1.401298464324817e-45,0.4493170976638794,0.12666860222816467,0.20461411774158478,0.36409252882003784,0.08696208149194717,0.5399743914604187,0.7538580298423767,0,156570,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E28EA0>,0,2.802596928649634e-45,0.699743390083313,0.07453450560569763,-0.02264406718313694,0.26239338517189026,-0.07010352611541748,-0.12006697803735733,0.9548922181129456,-1181,156570,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E28130>,80722,0.0,0.0,0.0,0.0,1.401298464324817e-44,3.643376007244524e-43,1.8367239361444675e-40,0.6842226386070251,20032,156570,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E280E0>,2318613950,-2.2317692233259264e-19,1.485786336063029e-37,0.00019556746701709926,1.8367379491291107e-40,0.7118645310401917,0.10169857740402222,-0.04734901711344719,0.009014172479510307,586,156570,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E28A90>,1049739113,0.009208274073898792,-0.07293149828910828,0.25238317251205444,0.004895548336207867,-0.007165401708334684,0.29813408851623535,0.04797285795211792,-0.05162853002548218,2394,156571,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E28860>,2510700199,-1.0047494066982547e-19,-38859500.0,1.0987104092547931e+21,-2.85498454942192e-32,-2.9138898278724246e+20,-1.0508651711711571e+33,-6.731194346361603e-38,2.0527621203894245e-40,0,156571,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E28090>,76,1.401298464324817e-45,0.4493170976638794,0.12666860222816467,0.20461411774158478,0.36409252882003784,0.08696208149194717,0.5399743914604187,0.7538580298423767,0,156571,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E28E00>,0,2.802596928649634e-45,0.6995913982391357,0.07444093376398087,-0.022642770782113075,0.26110488176345825,-0.06967159360647202,-0.11683914810419083,0.9556770920753479,-30067,156571,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E28040>,80722,0.0,0.0,0.0,0.0,1.401298464324817e-44,3.643376007244524e-43,1.8367239361444675e-40,0.6840413808822632,-31483,156571,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E28B80>,2475769277,-8.700840171775841e-15,1.485786336063029e-37,0.0003701785462908447,1.8367379491291107e-40,0.711552619934082,0.10158629715442657,-0.04740174114704132,0.00901564210653305,586,156571,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E82F40>,1049738722,0.00920706894248724,-0.07292978465557098,0.2523815929889679,0.004895750433206558,-0.0071739754639565945,0.2981209456920624,0.04797501862049103,-0.0516238659620285,2387,156572,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E82A40>,2452504231,-5.066098680853989e-20,-9714875.0,2.1729503410492826e+22,-1.3434229535208713e-29,-267113888.0,4.700391220599509e-33,4.1296304339964396e+18,2.0527481074047813e-40,0,156572,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E82CC0>,76,1.401298464324817e-45,0.4493170976638794,0.12666860222816467,0.20461411774158478,0.36409252882003784,0.08696208149194717,0.5399743914604187,0.7538580298423767,0,156572,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E824F0>,0,2.802596928649634e-45,0.6994214653968811,0.07439468801021576,-0.022661112248897552,0.25988391041755676,-0.06907043606042862,-0.11504823714494705,0.956270694732666,16974,156572,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E829F0>,80721,0.0,0.0,0.0,0.0,1.401298464324817e-44,3.643376007244524e-43,1.8367239361444675e-40,0.6838604211807251,1943,156572,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E828B0>,2785689021,-5.156485793911258e-10,1.485786336063029e-37,0.0003630408609751612,1.8367379491291107e-40,0.7112646102905273,0.10146662592887878,-0.04748952016234398,0.009017234668135643,586,156572,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E28AE0>,1049738543,0.009203716181218624,-0.07292696088552475,0.2523840069770813,0.004885207861661911,-0.007168539799749851,0.29812732338905334,0.04796391353011131,-0.05162733793258667,1977,156573,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E11180>,2545893031,-4.012853383325144e-24,-705483.6875,4.525097982404214e+20,-1.5372238177946355e-26,-61.184913635253906,-3.741053677035735e-32,-4.2016877531564605e+18,2.052734094420138e-40,0,156573,1,5,True,Left,Back,Left,Centre,67
<_io.BytesIO object at 0x000002A112E114F0>,76,1.401298464324817e-45,0.4493170976638794,0.12666860222816467,0.20461411774158478,0.36409252882003784,0.08696208149194717,0.5399743914604187,0.7538580298423767,0,156573,1,5,True,Left,Back,Left,Centre,67
