_io,asset_ID,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,error,tracking_valid,frame,trial_num,block_num,practicing,left_right_hand,palm_back_hand,target_loc,distractor_loc,participant_id
<_io.BytesIO object at 0x000002A112EB7630>,1060233309,0.08987057954072952,-0.08469560742378235,0.3360784351825714,0.04352499917149544,-0.06274303793907166,0.2927091121673584,0.047229789197444916,-0.05728185549378395,-10543,128000,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112EB76D0>,169492134,-216308.859375,-1.3949662935384064e+16,-134.24432373046875,-2.1327691125838924e+21,0.008284959942102432,0.005592164117842913,1.712768316268921,1.0947421441587224e-10,16170,128000,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112DA4360>,1033718743,0.002888208720833063,0.7270022034645081,0.0959869995713234,-0.06878916919231415,0.7521166205406189,0.0672159418463707,-0.06926117092370987,0.7528177499771118,-20662,128000,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112EB70E0>,3470212382,2.511729406409732e-40,6.979497708007332e-39,9.183549615799121e-41,3.512896218562318e-31,-8.726332225705846e-07,-4.1611033521029705e-35,6.475110157643463e+25,8.956557901645651e-24,15794,128000,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112EB71D0>,1057635267,0.7538580298423767,0.0,1.8367099231598242e-40,-7.057678885757923e-10,-1.9767078640597902e-07,-4.0057110257617244e+30,-1.1463803052902222,0.00017189551726914942,16029,128000,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112EB7B30>,3192693969,0.8265762329101562,0.0,0.0,0.0,0.0,0.0,9.183549615799121e-40,2.424457098570968e-38,0,128000,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112DA43B0>,596,0.6948297619819641,0.08987057954072952,-0.08469560742378235,0.00961144920438528,-0.00015163447824306786,7.439625829675486e-36,7.857054616001278e-28,50494.671875,15666,128000,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112DA4360>,3179315052,0.01014420110732317,690494510202880.0,7.533606545626543e-36,-2.233785415175766e+18,4.254376790986987e+31,-1.9078508530699014e-19,1.5040779349023273e+35,1.6746007103144078e-39,27223,128000,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112EB7090>,86063446,-114898965102592.0,7.426613147389913e-33,-216308.859375,46.30915832519531,1.674614723299051e-39,0.000356870936229825,1.8413061821228096e-42,0.27510279417037964,-15610,128000,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112DA4360>,3806805052,20.21759796142578,1.674597907717479e-39,0.00013597677752841264,1.8427074805871344e-42,0.24339304864406586,0.007758583407849073,-0.01577751897275448,0.009874258190393448,18,128000,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112E110E0>,1060227212,0.08907730132341385,-0.0848141461610794,0.3360763192176819,0.043525706976652145,-0.06272853910923004,0.29271194338798523,0.047226760536432266,-0.057277679443359375,-10467,128001,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112E11590>,98778790,-5333975564288.0,-8698865700044800.0,-1.28946729385984e+16,-4.301414392380627e+19,0.011580858379602432,1.5392655206003525e-10,0.001947283511981368,-1.540152176332795e+38,16169,128001,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112E11220>,1033632995,0.002495985943824053,0.7265928983688354,0.09567312151193619,-0.06878316402435303,0.7520636916160583,0.06716188788414001,-0.06910961121320724,0.75287926197052,25492,128001,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112E114A0>,2234203423,2.511673354471159e-40,6.979497708007332e-39,9.183549615799121e-41,3.512896218562318e-31,-8.726332225705846e-07,-4.1611033521029705e-35,6.475110157643463e+25,8.956557901645651e-24,15794,128001,1,3,True,Left,Front,Left,Right,67
<_io.BytesIO object at 0x000002A112E114F0>,1057635267,0.7538580298423767,0.0,1.8367099231598242e-40,-7.057678885757923e-10,-1.9767078640597902e-07,-4.0057110257617244e+30,-1.1463803052902222,0.00017189551726914942,16029,128001,1,3,True,Left,Front,Left,Right,67
